Citizenship,Year,Region,Month,Value0
Finland,2014,North,April,217
Finland,2014,North,May,266
Finland,2014,North,June,375
Finland,2014,North,July,534
Finland,2014,North,August,366
Finland,2014,North,September,229
Finland,2014,North,October,125
Finland,2014,North,November,60
Finland,2014,North,December,68
Finland,2014,East,Total,1491
Finland,2014,East,January,20
Finland,2014,East,February,20
Finland,2014,East,March,16
Finland,2014,East,April,59
Finland,2014,East,May,146
Finland,2014,East,June,381
Finland,2014,East,July,418
Finland,2014,East,August,297
Finland,2014,East,September,86
Finland,2014,East,October,26
Finland,2014,East,November,12
Finland,2014,East,December,10
Finland,2014,South,Total,2869
Finland,2014,South,January,24
Finland,2014,South,February,43
Finland,2014,South,March,61
Finland,2014,South,April,143
Finland,2014,South,May,409
Finland,2014,South,June,425
Finland,2014,South,July,525
Finland,2014,South,August,697
Finland,2014,South,September,277
Finland,2014,South,October,152
Finland,2014,South,November,52
Finland,2014,South,December,61
Finland,2013,Total,Total,33997
Finland,2013,Total,January,594
Finland,2013,Total,February,920
Finland,2013,Total,March,1991
Finland,2013,Total,April,3362
Finland,2013,Total,May,3811
Finland,2013,Total,June,4368
Finland,2013,Total,July,5067
Finland,2013,Total,August,4096
Finland,2013,Total,September,4200
Finland,2013,Total,October,3373
Finland,2013,Total,November,1188
Finland,2013,Total,December,1027
Finland,2013,Capital region,Total,26737
Finland,2013,Capital region,January,518
Finland,2013,Capital region,February,815
Finland,2013,Capital region,March,1677
Finland,2013,Capital region,April,3045
Finland,2013,Capital region,May,3180
Finland,2013,Capital region,June,3112
Finland,2013,Capital region,July,3298
Finland,2013,Capital region,August,2730
Finland,2013,Capital region,September,3443
Finland,2013,Capital region,October,2903
Finland,2013,Capital region,November,1088
Finland,2013,Capital region,December,928
Finland,2013,"West, Westfjords and Southwest from 2007",Total,..
Finland,2013,"West, Westfjords and Southwest from 2007",January,..
Finland,2013,"West, Westfjords and Southwest from 2007",February,..
Finland,2013,"West, Westfjords and Southwest from 2007",March,..
Finland,2013,"West, Westfjords and Southwest from 2007",April,..
Finland,2013,"West, Westfjords and Southwest from 2007",May,..
Finland,2013,"West, Westfjords and Southwest from 2007",June,..
Finland,2013,"West, Westfjords and Southwest from 2007",July,..
Finland,2013,"West, Westfjords and Southwest from 2007",August,..
Finland,2013,"West, Westfjords and Southwest from 2007",September,..
Finland,2013,"West, Westfjords and Southwest from 2007",October,..
Finland,2013,"West, Westfjords and Southwest from 2007",November,..
Finland,2013,"West, Westfjords and Southwest from 2007",December,..
Finland,2013,Southwest,Total,928
Finland,2013,Southwest,January,45
Finland,2013,Southwest,February,25
Finland,2013,Southwest,March,26
Finland,2013,Southwest,April,78
Finland,2013,Southwest,May,86
Finland,2013,Southwest,June,173
Finland,2013,Southwest,July,114
Finland,2013,Southwest,August,148
Finland,2013,Southwest,September,97
Finland,2013,Southwest,October,104
Finland,2013,Southwest,November,29
Finland,2013,Southwest,December,3
Finland,2013,"West, Westfjords from 2007",Total,928
Finland,2013,"West, Westfjords from 2007",January,4
Finland,2013,"West, Westfjords from 2007",February,15
Finland,2013,"West, Westfjords from 2007",March,56
Finland,2013,"West, Westfjords from 2007",April,21
Finland,2013,"West, Westfjords from 2007",May,88
Finland,2013,"West, Westfjords from 2007",June,133
Finland,2013,"West, Westfjords from 2007",July,221
Finland,2013,"West, Westfjords from 2007",August,236
Finland,2013,"West, Westfjords from 2007",September,80
Finland,2013,"West, Westfjords from 2007",October,49
Finland,2013,"West, Westfjords from 2007",November,17
Finland,2013,"West, Westfjords from 2007",December,8
Finland,2013,North,Total,1694
Finland,2013,North,January,8
Finland,2013,North,February,15
Finland,2013,North,March,73
Finland,2013,North,April,79
Finland,2013,North,May,182
Finland,2013,North,June,352
Finland,2013,North,July,455
Finland,2013,North,August,280
Finland,2013,North,September,110
Finland,2013,North,October,94
Finland,2013,North,November,17
Finland,2013,North,December,29
Finland,2013,East,Total,1220
Finland,2013,East,January,8
Finland,2013,East,February,9
Finland,2013,East,March,20
Finland,2013,East,April,19
Finland,2013,East,May,123
Finland,2013,East,June,293
Finland,2013,East,July,375
Finland,2013,East,August,219
Finland,2013,East,September,73
Finland,2013,East,October,40
Finland,2013,East,November,8
Finland,2013,East,December,33
Finland,2013,South,Total,2490
Finland,2013,South,January,11
Finland,2013,South,February,41
Finland,2013,South,March,139
Finland,2013,South,April,120
Finland,2013,South,May,152
Finland,2013,South,June,305
Finland,2013,South,July,604
Finland,2013,South,August,483
Finland,2013,South,September,397
Finland,2013,South,October,183
Finland,2013,South,November,29
Finland,2013,South,December,26
United Kingdom,2014,Total,Total,589499
United Kingdom,2014,Total,January,46209
United Kingdom,2014,Total,February,63955
United Kingdom,2014,Total,March,63565
United Kingdom,2014,Total,April,40717
United Kingdom,2014,Total,May,29652
United Kingdom,2014,Total,June,42356
United Kingdom,2014,Total,July,57168
United Kingdom,2014,Total,August,53863
United Kingdom,2014,Total,September,34422
United Kingdom,2014,Total,October,53806
United Kingdom,2014,Total,November,51875
United Kingdom,2014,Total,December,51911
United Kingdom,2014,Capital region,Total,378216
United Kingdom,2014,Capital region,January,38072
United Kingdom,2014,Capital region,February,49347
United Kingdom,2014,Capital region,March,48533
United Kingdom,2014,Capital region,April,28762
United Kingdom,2014,Capital region,May,15528
United Kingdom,2014,Capital region,June,16093
United Kingdom,2014,Capital region,July,21849
United Kingdom,2014,Capital region,August,18988
United Kingdom,2014,Capital region,September,17709
United Kingdom,2014,Capital region,October,36567
United Kingdom,2014,Capital region,November,42622
United Kingdom,2014,Capital region,December,44146
United Kingdom,2014,"West, Westfjords and Southwest from 2007",Total,..
United Kingdom,2014,"West, Westfjords and Southwest from 2007",January,..
United Kingdom,2014,"West, Westfjords and Southwest from 2007",February,..
United Kingdom,2014,"West, Westfjords and Southwest from 2007",March,..
United Kingdom,2014,"West, Westfjords and Southwest from 2007",April,..
United Kingdom,2014,"West, Westfjords and Southwest from 2007",May,..
United Kingdom,2014,"West, Westfjords and Southwest from 2007",June,..
United Kingdom,2014,"West, Westfjords and Southwest from 2007",July,..
United Kingdom,2014,"West, Westfjords and Southwest from 2007",August,..
United Kingdom,2014,"West, Westfjords and Southwest from 2007",September,..
United Kingdom,2014,"West, Westfjords and Southwest from 2007",October,..
United Kingdom,2014,"West, Westfjords and Southwest from 2007",November,..
United Kingdom,2014,"West, Westfjords and Southwest from 2007",December,..
United Kingdom,2014,Southwest,Total,27811
United Kingdom,2014,Southwest,January,1743
United Kingdom,2014,Southwest,February,2084
United Kingdom,2014,Southwest,March,2204
United Kingdom,2014,Southwest,April,2060
United Kingdom,2014,Southwest,May,1556
United Kingdom,2014,Southwest,June,2099
United Kingdom,2014,Southwest,July,2945
United Kingdom,2014,Southwest,August,3178
United Kingdom,2014,Southwest,September,2580
United Kingdom,2014,Southwest,October,3233
United Kingdom,2014,Southwest,November,2402
United Kingdom,2014,Southwest,December,1727
United Kingdom,2014,"West, Westfjords from 2007",Total,36508
United Kingdom,2014,"West, Westfjords from 2007",January,1128
United Kingdom,2014,"West, Westfjords from 2007",February,1922
United Kingdom,2014,"West, Westfjords from 2007",March,2187
United Kingdom,2014,"West, Westfjords from 2007",April,756
United Kingdom,2014,"West, Westfjords from 2007",May,2675
United Kingdom,2014,"West, Westfjords from 2007",June,5415
United Kingdom,2014,"West, Westfjords from 2007",July,8223
United Kingdom,2014,"West, Westfjords from 2007",August,8068
United Kingdom,2014,"West, Westfjords from 2007",September,3539
United Kingdom,2014,"West, Westfjords from 2007",October,1112
United Kingdom,2014,"West, Westfjords from 2007",November,922
United Kingdom,2014,"West, Westfjords from 2007",December,561
United Kingdom,2014,North,Total,37690
United Kingdom,2014,North,January,934
United Kingdom,2014,North,February,1655
United Kingdom,2014,North,March,1196
United Kingdom,2014,North,April,1922
United Kingdom,2014,North,May,2860
United Kingdom,2014,North,June,6520
United Kingdom,2014,North,July,7620
United Kingdom,2014,North,August,6787
United Kingdom,2014,North,September,3108
United Kingdom,2014,North,October,2154
United Kingdom,2014,North,November,1222
United Kingdom,2014,North,December,1712
United Kingdom,2014,East,Total,27613
United Kingdom,2014,East,January,847
United Kingdom,2014,East,February,1126
United Kingdom,2014,East,March,1680
United Kingdom,2014,East,April,1038
United Kingdom,2014,East,May,2779
United Kingdom,2014,East,June,4395
United Kingdom,2014,East,July,6085
United Kingdom,2014,East,August,6485
United Kingdom,2014,East,September,1901
United Kingdom,2014,East,October,860
United Kingdom,2014,East,November,323
United Kingdom,2014,East,December,94
United Kingdom,2014,South,Total,81661
United Kingdom,2014,South,January,3485
United Kingdom,2014,South,February,7821
United Kingdom,2014,South,March,7765
United Kingdom,2014,South,April,6179
United Kingdom,2014,South,May,4254
United Kingdom,2014,South,June,7834
United Kingdom,2014,South,July,10446
United Kingdom,2014,South,August,10357
United Kingdom,2014,South,September,5585
United Kingdom,2014,South,October,9880
United Kingdom,2014,South,November,4384
United Kingdom,2014,South,December,3671
United Kingdom,2013,Total,Total,440623
United Kingdom,2013,Total,January,33652
United Kingdom,2013,Total,February,58375
United Kingdom,2013,Total,March,50394
United Kingdom,2013,Total,April,27850
United Kingdom,2013,Total,May,21814
United Kingdom,2013,Total,June,27474
United Kingdom,2013,Total,July,37126
United Kingdom,2013,Total,August,31676
United Kingdom,2013,Total,September,24113
United Kingdom,2013,Total,October,38353
United Kingdom,2013,Total,November,44017
United Kingdom,2013,Total,December,45779
United Kingdom,2013,Capital region,Total,296878
United Kingdom,2013,Capital region,January,27741
United Kingdom,2013,Capital region,February,41659
United Kingdom,2013,Capital region,March,34369
United Kingdom,2013,Capital region,April,19026
United Kingdom,2013,Capital region,May,14232
United Kingdom,2013,Capital region,June,13370
United Kingdom,2013,Capital region,July,17423
United Kingdom,2013,Capital region,August,14630
United Kingdom,2013,Capital region,September,13985
United Kingdom,2013,Capital region,October,25922
United Kingdom,2013,Capital region,November,36507
United Kingdom,2013,Capital region,December,38014
United Kingdom,2013,"West, Westfjords and Southwest from 2007",Total,..
United Kingdom,2013,"West, Westfjords and Southwest from 2007",January,..
United Kingdom,2013,"West, Westfjords and Southwest from 2007",February,..
United Kingdom,2013,"West, Westfjords and Southwest from 2007",March,..
United Kingdom,2013,"West, Westfjords and Southwest from 2007",April,..
United Kingdom,2013,"West, Westfjords and Southwest from 2007",May,..
United Kingdom,2013,"West, Westfjords and Southwest from 2007",June,..
United Kingdom,2013,"West, Westfjords and Southwest from 2007",July,..
United Kingdom,2013,"West, Westfjords and Southwest from 2007",August,..
United Kingdom,2013,"West, Westfjords and Southwest from 2007",September,..
United Kingdom,2013,"West, Westfjords and Southwest from 2007",October,..
United Kingdom,2013,"West, Westfjords and Southwest from 2007",November,..
United Kingdom,2013,"West, Westfjords and Southwest from 2007",December,..
United Kingdom,2013,Southwest,Total,22074
United Kingdom,2013,Southwest,January,1484
United Kingdom,2013,Southwest,February,2329
United Kingdom,2013,Southwest,March,2095
United Kingdom,2013,Southwest,April,1495
United Kingdom,2013,Southwest,May,1098
United Kingdom,2013,Southwest,June,1893
United Kingdom,2013,Southwest,July,2701
United Kingdom,2013,Southwest,August,2193
United Kingdom,2013,Southwest,September,1210
United Kingdom,2013,Southwest,October,1974
United Kingdom,2013,Southwest,November,1805
United Kingdom,2013,Southwest,December,1797
United Kingdom,2013,"West, Westfjords from 2007",Total,21267
United Kingdom,2013,"West, Westfjords from 2007",January,777
United Kingdom,2013,"West, Westfjords from 2007",February,3479
United Kingdom,2013,"West, Westfjords from 2007",March,2896
United Kingdom,2013,"West, Westfjords from 2007",April,665
United Kingdom,2013,"West, Westfjords from 2007",May,988
United Kingdom,2013,"West, Westfjords from 2007",June,2185
United Kingdom,2013,"West, Westfjords from 2007",July,3329
United Kingdom,2013,"West, Westfjords from 2007",August,2742
United Kingdom,2013,"West, Westfjords from 2007",September,1580
United Kingdom,2013,"West, Westfjords from 2007",October,1065
United Kingdom,2013,"West, Westfjords from 2007",November,948
United Kingdom,2013,"West, Westfjords from 2007",December,613
United Kingdom,2013,North,Total,23288
United Kingdom,2013,North,January,633
United Kingdom,2013,North,February,1382
United Kingdom,2013,North,March,1800
United Kingdom,2013,North,April,892
United Kingdom,2013,North,May,1708
United Kingdom,2013,North,June,3657
United Kingdom,2013,North,July,4175
United Kingdom,2013,North,August,3996
United Kingdom,2013,North,September,2249
United Kingdom,2013,North,October,1029
United Kingdom,2013,North,November,636
United Kingdom,2013,North,December,1131
United Kingdom,2013,East,Total,20429
United Kingdom,2013,East,January,576
United Kingdom,2013,East,February,2089
United Kingdom,2013,East,March,2188
United Kingdom,2013,East,April,1419
United Kingdom,2013,East,May,1214
United Kingdom,2013,East,June,2668
United Kingdom,2013,East,July,3383
United Kingdom,2013,East,August,3310
United Kingdom,2013,East,September,1621
United Kingdom,2013,East,October,1163
United Kingdom,2013,East,November,475
United Kingdom,2013,East,December,323
United Kingdom,2013,South,Total,56687
United Kingdom,2013,South,January,2441
United Kingdom,2013,South,February,7437
United Kingdom,2013,South,March,7046
United Kingdom,2013,South,April,4353
United Kingdom,2013,South,May,2574
United Kingdom,2013,South,June,3701
United Kingdom,2013,South,July,6115
United Kingdom,2013,South,August,4805
United Kingdom,2013,South,September,3468
United Kingdom,2013,South,October,7200
United Kingdom,2013,South,November,3646
United Kingdom,2013,South,December,3901
Ireland,2014,Total,Total,10505
Ireland,2014,Total,January,249
Ireland,2014,Total,February,437
Ireland,2014,Total,March,326
Ireland,2014,Total,April,2649
Ireland,2014,Total,May,280
Ireland,2014,Total,June,335
Ireland,2014,Total,July,613
Ireland,2014,Total,August,624
Ireland,2014,Total,September,342
Ireland,2014,Total,October,2107
Ireland,2014,Total,November,2244
Ireland,2014,Total,December,299
Ireland,2014,Capital region,Total,8634
Ireland,2014,Capital region,January,170
Ireland,2014,Capital region,February,261
Ireland,2014,Capital region,March,268
Ireland,2014,Capital region,April,2529
Ireland,2014,Capital region,May,138
Ireland,2014,Capital region,June,191
Ireland,2014,Capital region,July,222
Ireland,2014,Capital region,August,235
Ireland,2014,Capital region,September,185
Ireland,2014,Capital region,October,2028
Ireland,2014,Capital region,November,2136
Ireland,2014,Capital region,December,271
Ireland,2014,"West, Westfjords and Southwest from 2007",Total,..
Ireland,2014,"West, Westfjords and Southwest from 2007",January,..
Ireland,2014,"West, Westfjords and Southwest from 2007",February,..
Ireland,2014,"West, Westfjords and Southwest from 2007",March,..
Ireland,2014,"West, Westfjords and Southwest from 2007",April,..
Ireland,2014,"West, Westfjords and Southwest from 2007",May,..
Ireland,2014,"West, Westfjords and Southwest from 2007",June,..
Ireland,2014,"West, Westfjords and Southwest from 2007",July,..
Ireland,2014,"West, Westfjords and Southwest from 2007",August,..
Ireland,2014,"West, Westfjords and Southwest from 2007",September,..
Ireland,2014,"West, Westfjords and Southwest from 2007",October,..
Ireland,2014,"West, Westfjords and Southwest from 2007",November,..
Ireland,2014,"West, Westfjords and Southwest from 2007",December,..
Ireland,2014,Southwest,Total,430
Ireland,2014,Southwest,January,24
Ireland,2014,Southwest,February,24
Ireland,2014,Southwest,March,15
Ireland,2014,Southwest,April,43
Ireland,2014,Southwest,May,24
Ireland,2014,Southwest,June,18
Ireland,2014,Southwest,July,72
Ireland,2014,Southwest,August,95
Ireland,2014,Southwest,September,38
Ireland,2014,Southwest,October,30
Ireland,2014,Southwest,November,37
Ireland,2014,Southwest,December,10
Ireland,2014,"West, Westfjords from 2007",Total,153
Ireland,2014,"West, Westfjords from 2007",January,5
Ireland,2014,"West, Westfjords from 2007",February,16
Ireland,2014,"West, Westfjords from 2007",March,..
Ireland,2014,"West, Westfjords from 2007",April,17
Ireland,2014,"West, Westfjords from 2007",May,4
Ireland,2014,"West, Westfjords from 2007",June,33
Ireland,2014,"West, Westfjords from 2007",July,14
Ireland,2014,"West, Westfjords from 2007",August,22
Ireland,2014,"West, Westfjords from 2007",September,24
Ireland,2014,"West, Westfjords from 2007",October,5
Ireland,2014,"West, Westfjords from 2007",November,11
Ireland,2014,"West, Westfjords from 2007",December,2
Ireland,2014,North,Total,356
Ireland,2014,North,January,..
Ireland,2014,North,February,34
Ireland,2014,North,March,2
Ireland,2014,North,April,20
Ireland,2014,North,May,45
Ireland,2014,North,June,9
Ireland,2014,North,July,112
Ireland,2014,North,August,82
Ireland,2014,North,September,19
Ireland,2014,North,October,12
Ireland,2014,North,November,15
Ireland,2014,North,December,6
Ireland,2014,East,Total,209
Ireland,2014,East,January,24
Ireland,2014,East,February,2
Ireland,2014,East,March,15
Ireland,2014,East,April,12
Ireland,2014,East,May,21
Ireland,2014,East,June,34
Ireland,2014,East,July,41
Ireland,2014,East,August,37
Ireland,2014,East,September,10
Ireland,2014,East,October,6
Ireland,2014,East,November,7
Ireland,2014,East,December,..
Ireland,2014,South,Total,723
Ireland,2014,South,January,26
Ireland,2014,South,February,100
Ireland,2014,South,March,26
Ireland,2014,South,April,28
Ireland,2014,South,May,48
Ireland,2014,South,June,50
Ireland,2014,South,July,152
Ireland,2014,South,August,153
Ireland,2014,South,September,66
Ireland,2014,South,October,26
Ireland,2014,South,November,38
Ireland,2014,South,December,10
Ireland,2013,Total,Total,11578
Ireland,2013,Total,January,216
Ireland,2013,Total,February,365
Ireland,2013,Total,March,2204
Ireland,2013,Total,April,1119
Ireland,2013,Total,May,408
Ireland,2013,Total,June,557
Ireland,2013,Total,July,877
Ireland,2013,Total,August,689
Ireland,2013,Total,September,531
Ireland,2013,Total,October,3514
Ireland,2013,Total,November,861
Ireland,2013,Total,December,237
Ireland,2013,Capital region,Total,9083
Ireland,2013,Capital region,January,187
Ireland,2013,Capital region,February,282
Ireland,2013,Capital region,March,2000
Ireland,2013,Capital region,April,1033
Ireland,2013,Capital region,May,260
Ireland,2013,Capital region,June,244
Ireland,2013,Capital region,July,263
Ireland,2013,Capital region,August,353
Ireland,2013,Capital region,September,253
Ireland,2013,Capital region,October,3202
Ireland,2013,Capital region,November,808
Ireland,2013,Capital region,December,198
Ireland,2013,"West, Westfjords and Southwest from 2007",Total,..
Ireland,2013,"West, Westfjords and Southwest from 2007",January,..
Ireland,2013,"West, Westfjords and Southwest from 2007",February,..
Ireland,2013,"West, Westfjords and Southwest from 2007",March,..
Ireland,2013,"West, Westfjords and Southwest from 2007",April,..
Ireland,2013,"West, Westfjords and Southwest from 2007",May,..
Ireland,2013,"West, Westfjords and Southwest from 2007",June,..
Ireland,2013,"West, Westfjords and Southwest from 2007",July,..
Ireland,2013,"West, Westfjords and Southwest from 2007",August,..
Ireland,2013,"West, Westfjords and Southwest from 2007",September,..
Ireland,2013,"West, Westfjords and Southwest from 2007",October,..
Ireland,2013,"West, Westfjords and Southwest from 2007",November,..
Ireland,2013,"West, Westfjords and Southwest from 2007",December,..
Ireland,2013,Southwest,Total,399
Ireland,2013,Southwest,January,10
Ireland,2013,Southwest,February,40
Ireland,2013,Southwest,March,20
Ireland,2013,Southwest,April,22
Ireland,2013,Southwest,May,20
Ireland,2013,Southwest,June,36
Ireland,2013,Southwest,July,58
Ireland,2013,Southwest,August,83
Ireland,2013,Southwest,September,22
Ireland,2013,Southwest,October,64
Ireland,2013,Southwest,November,8
Ireland,2013,Southwest,December,16
Ireland,2013,"West, Westfjords from 2007",Total,377
Ireland,2013,"West, Westfjords from 2007",January,1
Ireland,2013,"West, Westfjords from 2007",February,1
Ireland,2013,"West, Westfjords from 2007",March,4
Ireland,2013,"West, Westfjords from 2007",April,1
Ireland,2013,"West, Westfjords from 2007",May,6
Ireland,2013,"West, Westfjords from 2007",June,46
Ireland,2013,"West, Westfjords from 2007",July,60
Ireland,2013,"West, Westfjords from 2007",August,78
Ireland,2013,"West, Westfjords from 2007",September,142
Ireland,2013,"West, Westfjords from 2007",October,34
Ireland,2013,"West, Westfjords from 2007",November,3
Ireland,2013,"West, Westfjords from 2007",December,1
Ireland,2013,North,Total,520
Ireland,2013,North,January,..
Ireland,2013,North,February,2
Ireland,2013,North,March,42
Ireland,2013,North,April,30
Ireland,2013,North,May,25
Ireland,2013,North,June,149
Ireland,2013,North,July,133
Ireland,2013,North,August,28
Ireland,2013,North,September,51
Ireland,2013,North,October,52
Ireland,2013,North,November,7
Ireland,2013,North,December,1
Ireland,2013,East,Total,337
Ireland,2013,East,January,4
Ireland,2013,East,February,3
Ireland,2013,East,March,18
Ireland,2013,East,April,11
Ireland,2013,East,May,51
Ireland,2013,East,June,47
Ireland,2013,East,July,70
Ireland,2013,East,August,63
Ireland,2013,East,September,27
Ireland,2013,East,October,27
Ireland,2013,East,November,10
Ireland,2013,East,December,6
Ireland,2013,South,Total,862
Ireland,2013,South,January,14
Ireland,2013,South,February,37
Ireland,2013,South,March,120
Ireland,2013,South,April,22
Ireland,2013,South,May,46
Ireland,2013,South,June,35
Ireland,2013,South,July,293
Ireland,2013,South,August,84
Ireland,2013,South,September,36
Ireland,2013,South,October,135
Ireland,2013,South,November,25
Ireland,2013,South,December,15
Germany,2014,Total,Total,419969
Germany,2014,Total,January,6625
Germany,2014,Total,February,11158
Germany,2014,Total,March,13062
Germany,2014,Total,April,13620
Germany,2014,Total,May,27633
Germany,2014,Total,June,77390
Germany,2014,Total,July,112016
Germany,2014,Total,August,96023
Germany,2014,Total,September,31854
Germany,2014,Total,October,13553
Germany,2014,Total,November,9264
Germany,2014,Total,December,7771
Germany,2014,Capital region,Total,177845
Germany,2014,Capital region,January,4798
Germany,2014,Capital region,February,7966
Germany,2014,Capital region,March,7981
Germany,2014,Capital region,April,8667
Germany,2014,Capital region,May,14230
Germany,2014,Capital region,June,30328
Germany,2014,Capital region,July,38079
Germany,2014,Capital region,August,32215
Germany,2014,Capital region,September,13771
Germany,2014,Capital region,October,7843
Germany,2014,Capital region,November,6556
Germany,2014,Capital region,December,5411
Germany,2014,"West, Westfjords and Southwest from 2007",Total,..
Germany,2014,"West, Westfjords and Southwest from 2007",January,..
Germany,2014,"West, Westfjords and Southwest from 2007",February,..
Germany,2014,"West, Westfjords and Southwest from 2007",March,..
Germany,2014,"West, Westfjords and Southwest from 2007",April,..
Germany,2014,"West, Westfjords and Southwest from 2007",May,..
Germany,2014,"West, Westfjords and Southwest from 2007",June,..
Germany,2014,"West, Westfjords and Southwest from 2007",July,..
Germany,2014,"West, Westfjords and Southwest from 2007",August,..
Germany,2014,"West, Westfjords and Southwest from 2007",September,..
Germany,2014,"West, Westfjords and Southwest from 2007",October,..
Germany,2014,"West, Westfjords and Southwest from 2007",November,..
Germany,2014,"West, Westfjords and Southwest from 2007",December,..
Germany,2014,Southwest,Total,21598
Germany,2014,Southwest,January,323
Germany,2014,Southwest,February,373
Germany,2014,Southwest,March,609
Germany,2014,Southwest,April,606
Germany,2014,Southwest,May,1234
Germany,2014,Southwest,June,3920
Germany,2014,Southwest,July,5133
Germany,2014,Southwest,August,5452
Germany,2014,Southwest,September,1877
Germany,2014,Southwest,October,919
Germany,2014,Southwest,November,658
Germany,2014,Southwest,December,494
Germany,2014,"West, Westfjords from 2007",Total,38100
Germany,2014,"West, Westfjords from 2007",January,221
Germany,2014,"West, Westfjords from 2007",February,455
Germany,2014,"West, Westfjords from 2007",March,971
Germany,2014,"West, Westfjords from 2007",April,547
Germany,2014,"West, Westfjords from 2007",May,2111
Germany,2014,"West, Westfjords from 2007",June,7984
Germany,2014,"West, Westfjords from 2007",July,11471
Germany,2014,"West, Westfjords from 2007",August,9927
Germany,2014,"West, Westfjords from 2007",September,3052
Germany,2014,"West, Westfjords from 2007",October,882
Germany,2014,"West, Westfjords from 2007",November,313
Germany,2014,"West, Westfjords from 2007",December,166
Germany,2014,North,Total,65867
Germany,2014,North,January,357
Germany,2014,North,February,945
Germany,2014,North,March,1090
Germany,2014,North,April,1208
Germany,2014,North,May,3282
Germany,2014,North,June,13019
Germany,2014,North,July,20986
Germany,2014,North,August,17340
Germany,2014,North,September,4913
Germany,2014,North,October,1300
Germany,2014,North,November,553
Germany,2014,North,December,874
Germany,2014,East,Total,52794
Germany,2014,East,January,370
Germany,2014,East,February,318
Germany,2014,East,March,737
Germany,2014,East,April,956
Germany,2014,East,May,3261
Germany,2014,East,June,11320
Germany,2014,East,July,16801
Germany,2014,East,August,14576
Germany,2014,East,September,3683
Germany,2014,East,October,575
Germany,2014,East,November,132
Germany,2014,East,December,65
Germany,2014,South,Total,63765
Germany,2014,South,January,556
Germany,2014,South,February,1101
Germany,2014,South,March,1674
Germany,2014,South,April,1636
Germany,2014,South,May,3515
Germany,2014,South,June,10819
Germany,2014,South,July,19546
Germany,2014,South,August,16513
Germany,2014,South,September,4558
Germany,2014,South,October,2034
Germany,2014,South,November,1052
Germany,2014,South,December,761
Germany,2013,Total,Total,388197
Germany,2013,Total,January,6272
Germany,2013,Total,February,9742
Germany,2013,Total,March,11090
Germany,2013,Total,April,10085
Germany,2013,Total,May,29578
Germany,2013,Total,June,75611
Germany,2013,Total,July,115375
Germany,2013,Total,August,85323
Germany,2013,Total,September,22536
Germany,2013,Total,October,11272
Germany,2013,Total,November,5345
Germany,2013,Total,December,5968
Germany,2013,Capital region,Total,159825
Germany,2013,Capital region,January,5057
Germany,2013,Capital region,February,7222
Germany,2013,Capital region,March,7905
Germany,2013,Capital region,April,6942
Germany,2013,Capital region,May,15310
Germany,2013,Capital region,June,28136
Germany,2013,Capital region,July,36947
Germany,2013,Capital region,August,28122
Germany,2013,Capital region,September,8995
Germany,2013,Capital region,October,6996
Germany,2013,Capital region,November,3705
Germany,2013,Capital region,December,4488
Germany,2013,"West, Westfjords and Southwest from 2007",Total,..
Germany,2013,"West, Westfjords and Southwest from 2007",January,..
Germany,2013,"West, Westfjords and Southwest from 2007",February,..
Germany,2013,"West, Westfjords and Southwest from 2007",March,..
Germany,2013,"West, Westfjords and Southwest from 2007",April,..
Germany,2013,"West, Westfjords and Southwest from 2007",May,..
Germany,2013,"West, Westfjords and Southwest from 2007",June,..
Germany,2013,"West, Westfjords and Southwest from 2007",July,..
Germany,2013,"West, Westfjords and Southwest from 2007",August,..
Germany,2013,"West, Westfjords and Southwest from 2007",September,..
Germany,2013,"West, Westfjords and Southwest from 2007",October,..
Germany,2013,"West, Westfjords and Southwest from 2007",November,..
Germany,2013,"West, Westfjords and Southwest from 2007",December,..
Germany,2013,Southwest,Total,17206
Germany,2013,Southwest,January,176
Germany,2013,Southwest,February,359
Germany,2013,Southwest,March,541
Germany,2013,Southwest,April,320
Germany,2013,Southwest,May,1164
Germany,2013,Southwest,June,2903
Germany,2013,Southwest,July,5633
Germany,2013,Southwest,August,3475
Germany,2013,Southwest,September,1399
Germany,2013,Southwest,October,654
Germany,2013,Southwest,November,334
Germany,2013,Southwest,December,248
Germany,2013,"West, Westfjords from 2007",Total,33212
Germany,2013,"West, Westfjords from 2007",January,168
Germany,2013,"West, Westfjords from 2007",February,245
Germany,2013,"West, Westfjords from 2007",March,594
Germany,2013,"West, Westfjords from 2007",April,425
Germany,2013,"West, Westfjords from 2007",May,1724
Germany,2013,"West, Westfjords from 2007",June,7414
Germany,2013,"West, Westfjords from 2007",July,10969
Germany,2013,"West, Westfjords from 2007",August,8577
Germany,2013,"West, Westfjords from 2007",September,2129
Germany,2013,"West, Westfjords from 2007",October,516
Germany,2013,"West, Westfjords from 2007",November,300
Germany,2013,"West, Westfjords from 2007",December,151
Germany,2013,North,Total,63869
Germany,2013,North,January,302
Germany,2013,North,February,503
Germany,2013,North,March,618
Germany,2013,North,April,699
Germany,2013,North,May,4268
Germany,2013,North,June,13392
Germany,2013,North,July,22107
Germany,2013,North,August,16358
Germany,2013,North,September,3798
Germany,2013,North,October,1128
Germany,2013,North,November,226
Germany,2013,North,December,470
Germany,2013,East,Total,52270
Germany,2013,East,January,244
Germany,2013,East,February,203
Germany,2013,East,March,477
Germany,2013,East,April,600
Germany,2013,East,May,3922
Germany,2013,East,June,12239
