Citizenship,Year,Region,Month,Value0
Total,2013,"West, Westfjords from 2007",Total,213369
Total,2013,"West, Westfjords from 2007",January,2935
Total,2013,"West, Westfjords from 2007",February,6726
Total,2013,"West, Westfjords from 2007",March,8497
Total,2013,"West, Westfjords from 2007",April,5535
Total,2013,"West, Westfjords from 2007",May,14141
Total,2013,"West, Westfjords from 2007",June,36628
Total,2013,"West, Westfjords from 2007",July,57595
Total,2013,"West, Westfjords from 2007",August,47510
Total,2013,"West, Westfjords from 2007",September,17153
Total,2013,"West, Westfjords from 2007",October,7795
Total,2013,"West, Westfjords from 2007",November,5465
Total,2013,"West, Westfjords from 2007",December,3389
Total,2013,North,Total,359027
Total,2013,North,January,5924
Total,2013,North,February,9964
Total,2013,North,March,15108
Total,2013,North,April,11087
Total,2013,North,May,25249
Total,2013,North,June,58928
Total,2013,North,July,95080
Total,2013,North,August,76537
Total,2013,North,September,27965
Total,2013,North,October,18548
Total,2013,North,November,8205
Total,2013,North,December,6432
Total,2013,East,Total,245486
Total,2013,East,January,2547
Total,2013,East,February,5414
Total,2013,East,March,8167
Total,2013,East,April,6367
Total,2013,East,May,17201
Total,2013,East,June,46817
Total,2013,East,July,67751
Total,2013,East,August,58519
Total,2013,East,September,18140
Total,2013,East,October,7272
Total,2013,East,November,4161
Total,2013,East,December,3130
Total,2013,South,Total,402319
Total,2013,South,January,6443
Total,2013,South,February,18410
Total,2013,South,March,21552
Total,2013,South,April,17531
Total,2013,South,May,25567
Total,2013,South,June,57662
Total,2013,South,July,94578
Total,2013,South,August,76767
Total,2013,South,September,34338
Total,2013,South,October,23409
Total,2013,South,November,14051
Total,2013,South,December,12011
Foreigners,2014,Total,Total,2787254
Foreigners,2014,Total,January,109222
Foreigners,2014,Total,February,151453
Foreigners,2014,Total,March,178085
Foreigners,2014,Total,April,146176
Foreigners,2014,Total,May,193109
Foreigners,2014,Total,June,352554
Foreigners,2014,Total,July,501792
Foreigners,2014,Total,August,469905
Foreigners,2014,Total,September,231510
Foreigners,2014,Total,October,177255
Foreigners,2014,Total,November,148883
Foreigners,2014,Total,December,127310
Foreigners,2014,Capital region,Total,1495103
Foreigners,2014,Capital region,January,87719
Foreigners,2014,Capital region,February,113052
Foreigners,2014,Capital region,March,132749
Foreigners,2014,Capital region,April,104662
Foreigners,2014,Capital region,May,109495
Foreigners,2014,Capital region,June,144776
Foreigners,2014,Capital region,July,175491
Foreigners,2014,Capital region,August,168360
Foreigners,2014,Capital region,September,119950
Foreigners,2014,Capital region,October,119952
Foreigners,2014,Capital region,November,118425
Foreigners,2014,Capital region,December,100472
Foreigners,2014,"West, Westfjords and Southwest from 2007",Total,..
Foreigners,2014,"West, Westfjords and Southwest from 2007",January,..
Foreigners,2014,"West, Westfjords and Southwest from 2007",February,..
Foreigners,2014,"West, Westfjords and Southwest from 2007",March,..
Foreigners,2014,"West, Westfjords and Southwest from 2007",April,..
Foreigners,2014,"West, Westfjords and Southwest from 2007",May,..
Foreigners,2014,"West, Westfjords and Southwest from 2007",June,..
Foreigners,2014,"West, Westfjords and Southwest from 2007",July,..
Foreigners,2014,"West, Westfjords and Southwest from 2007",August,..
Foreigners,2014,"West, Westfjords and Southwest from 2007",September,..
Foreigners,2014,"West, Westfjords and Southwest from 2007",October,..
Foreigners,2014,"West, Westfjords and Southwest from 2007",November,..
Foreigners,2014,"West, Westfjords and Southwest from 2007",December,..
Foreigners,2014,Southwest,Total,152818
Foreigners,2014,Southwest,January,4901
Foreigners,2014,Southwest,February,7720
Foreigners,2014,Southwest,March,6803
Foreigners,2014,Southwest,April,7045
Foreigners,2014,Southwest,May,10629
Foreigners,2014,Southwest,June,20614
Foreigners,2014,Southwest,July,27140
Foreigners,2014,Southwest,August,27881
Foreigners,2014,Southwest,September,14073
Foreigners,2014,Southwest,October,10789
Foreigners,2014,Southwest,November,8486
Foreigners,2014,Southwest,December,6737
Foreigners,2014,"West, Westfjords from 2007",Total,198457
Foreigners,2014,"West, Westfjords from 2007",January,2600
